month,api_client_title,shipping_city,shipping_region,shipping_country,customer_type,product_title,product_type,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,total_tips,average_order_value
2021-03,Online Store,Port St Lucie,Florida,United States,First-time,6-Bag Variety Pack,,1,53.94,0,0,53.94,0,0,53.94,0,53.94
2021-03,Online Store,Saint Albans,West Virginia,United States,Returning,Spicy Original,,1,17.98,-3.77,0,14.21,0,0,14.21,0,14.21
2021-03,Online Store,Ft. Hood,Texas,United States,First-time,Slap Yo' Grandma Spicy,,1,44.95,-8.98,0,35.97,0,0,35.97,0,35.97
2021-03,Online Store,La Puente,California,United States,First-time,Black Truffle,,1,35.96,0,0,35.96,0,0,35.96,0,35.96
2021-03,Online Store,Kewanee,Illinois,United States,First-time,Black Truffle,,1,35.96,0,0,35.96,0,0,35.96,0,35.96
2021-03,Online Store,Mesquite,Texas,United States,First-time,,,0,0,0,0,0,5.38,0,5.38,0,0
2021-03,Online Store,Long Island City,New York,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Westminster,Colorado,United States,First-time,Sweet Heat,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Carpentersvle,Illinois,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Seal Subscriptions,Chicago,Illinois,United States,First-time,Traditional Japanese Teriyaki,,1,26.97,-1.35,0,25.62,0,0,25.62,0,25.62
2021-03,Online Store,Long Beach,California,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Stoneham,Massachusetts,United States,First-time,Original,,1,53.94,-11.33,0,42.61,0,0,42.61,0,42.61
2021-03,Online Store,Arlington,Virginia,United States,First-time,Gourmet Keto Variety Pack,,1,39.96,-7.99,0,31.97,0,0,31.97,0,31.97
2021-03,Online Store,New Lebanon,Ohio,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Madison,Wisconsin,United States,First-time,Original,,1,8.99,-1.89,0,7.1,0,0,7.1,0,7.1
2021-03,Online Store,West Palm Beach,Florida,United States,First-time,,,0,0,0,0,0,17.46,0,17.46,0,0
2021-03,Online Store,Lubbock,Texas,United States,First-time,,,0,0,0,0,0,23.41,0,23.41,0,0
2021-03,Online Store,Johnstown,Pennsylvania,United States,First-time,Original,,2,26.97,0,0,26.97,0,1.62,28.59,0,14.295
2021-03,Online Store,Round Lake,Illinois,United States,First-time,6-Bag Variety Pack,,1,53.94,0,0,53.94,0,0,53.94,0,53.94
2021-03,Online Store,Virginia Beach,Virginia,United States,First-time,Gourmet Keto Mild Original,,1,9.99,0,0,9.99,0,0,9.99,0,9.99
2021-03,Online Store,Troy,North Carolina,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Green Cove Springs,Florida,United States,First-time,Black Truffle,,1,35.96,0,0,35.96,0,0,35.96,0,35.96
2021-03,Online Store,Orlando,Florida,United States,First-time,Spicy Original,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Olney,Maryland,United States,First-time,,,0,0,0,0,0,9.19,0,9.19,0,0
2021-03,Online Store,Cleveland,Tennessee,United States,First-time,Spicy Original,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Lehigh Acres,Florida,United States,First-time,Gourmet Keto Variety Pack,,1,39.96,0,0,39.96,0,0,39.96,0,39.96
2021-03,Online Store,Kannapolis,North Carolina,United States,First-time,Gourmet Keto Black Truffle,,1,9.99,0,0,9.99,0,0,9.99,0,9.99
2021-03,Online Store,Sweet Home,Oregon,United States,First-time,Slap Yo' Grandma Spicy,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Marana,Arizona,United States,First-time,Sweet Heat,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Grove City,Ohio,United States,First-time,,,0,0,0,0,0,5.38,0,5.38,0,0
2021-03,Online Store,Centerton,Arkansas,United States,First-time,,,0,0,0,0,0,4.38,0,4.38,0,0
2021-03,Online Store,Indianapolis,Indiana,United States,First-time,Original,,2,80.91,-13.22,0,67.69,0,0,67.69,0,33.845
2021-03,Online Store,Scottsdale,Arizona,United States,First-time,Traditional Japanese Teriyaki,,1,197.78,-41.53,0,156.25,0,0,156.25,0,156.25
2021-03,Online Store,Pearl City,Hawaii,United States,Returning,,,0,0,0,0,0,4.2,0,4.2,0,0
2021-03,Online Store,Pittsburgh,Pennsylvania,United States,First-time,Black Truffle,,1,8.99,0,0,8.99,0,0.54,9.53,0,9.53
2021-03,Online Store,Vista,California,United States,First-time,Original,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Omaha,Nebraska,United States,Returning,,,0,0,0,0,0,4.38,0,4.38,0,0
2021-03,Online Store,Beverly,Massachusetts,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Peoria,Arizona,United States,First-time,Gourmet Keto Black Truffle,,1,19.98,0,0,19.98,0,0,19.98,0,19.98
2021-03,Online Store,Louisville,Kentucky,United States,First-time,Gourmet Keto Variety Pack,,1,119.88,-25.17,0,94.71,0,0,94.71,0,94.71
2021-03,Online Store,Littleton,Colorado,United States,First-time,Gourmet Keto Mild Original,,1,19.98,-2,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Arvada,Colorado,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Alpine,California,United States,First-time,Black Truffle,,1,26.97,0,0,26.97,0,0,26.97,0,26.97
2021-03,Online Store,Moreno Valley,California,United States,First-time,Sweet Heat,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Bakersfield,California,United States,First-time,,,0,0,0,0,0,5.89,0,5.89,0,0
2021-03,Online Store,Valley Village,California,United States,Returning,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Wildwood,Florida,United States,First-time,5-Bag Variety Pack,,1,44.95,0,0,44.95,0,0,44.95,0,44.95
